cell_set_preferred_alias,original_label,cell_set_label,cell_set_accession,cell_set_aligned_alias,cell_set_additional_alias,cell_set_alias_assignee,cell_set_alias_citation,cell_set_structure,cell_set_ontology_tag,taxonomy_id,species,modality,child_cell_set_accessions
Sst Myh8 (mge_8),Sst Myh8 (mge_8),LIGER 38,CS202002012_38,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Sst Chodl (mge_11),Sst Chodl (mge_11),LIGER 39,CS202002012_39,Sst Chodl,RNAseq 028 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Vip Chat (cge_15),Vip Chat (cge_15),LIGER 40,CS202002012_40,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Vip Chat (cge_3),Vip Chat (cge_3),LIGER 41,CS202002012_41,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Vip Chat (cge_7),Vip Chat (cge_7),LIGER 42,CS202002012_42,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Vip Chat (cge_10),Vip Chat (cge_10),LIGER 43,CS202002012_43,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Vip Serpinf1 (cge_11),Vip Serpinf1 (cge_11),LIGER 44,CS202002012_44,,RNAseq 015-017 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Vip Gpc3 (cge_9),Vip Gpc3 (cge_9),LIGER 45,CS202002012_45,,RNAseq 019 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Vip Igfbp6 (cge_6),Vip Igfbp6 (cge_6),LIGER 46,CS202002012_46,,RNAseq 026-027 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Vip Htr1f (cge_2),Vip Htr1f (cge_2),LIGER 47,CS202002012_47,,RNAseq 018 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Vip Mybpc1 (cge_4),Vip Mybpc1 (cge_4),LIGER 48,CS202002012_48,,"RNAseq 021-022, 024 in CCN202002013",Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Sncg Npy2r (cge_8),Sncg Npy2r (cge_8),LIGER 49,CS202002012_49,,RNAseq 013 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Sncg Slc17a8 (cge_13),Sncg Slc17a8 (cge_13),LIGER 50,CS202002012_50,,RNAseq 010 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Lhx6 (cge_14),Lamp5 Lhx6 (cge_14),LIGER 51,CS202002012_51,Lamp5 Lhx6,RNAseq 008 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Slc35d3 (cge_0),Lamp5 Slc35d3 (cge_0),LIGER 52,CS202002012_52,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Slc35d3 (cge_16),Lamp5 Slc35d3 (cge_16),LIGER 53,CS202002012_53,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Egln3_3 (cge_5),Lamp5 Egln3_3 (cge_5),LIGER 54,CS202002012_54,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Pdlim5_2 (cge_1),Lamp5 Pdlim5_2 (cge_1),LIGER 55,CS202002012_55,,RNAseq 006 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Lamp5 Pax6 (cge_12),Lamp5 Pax6 (cge_12),LIGER 56,CS202002012_56,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Astro_Top2a (nn_14),Astro_Top2a (nn_14),LIGER 57,CS202002012_57,,RNAseq 092 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Astro Aqp4_Gfap (nn_6),Astro Aqp4_Gfap (nn_6),LIGER 58,CS202002012_58,,RNAseq 093 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Astro Aqp4_Slc7a10 (nn_1),Astro Aqp4_Slc7a10 (nn_1),LIGER 59,CS202002012_59,,RNAseq 094 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
OPC Pdgfra (nn_3),OPC Pdgfra (nn_3),LIGER 60,CS202002012_60,OPC,RNAseq 091 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Oligo Enpp6_2 (nn_8),Oligo Enpp6_2 (nn_8),LIGER 61,CS202002012_61,,RNAseq 095 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Oligo Opalin_1 (nn_4),Oligo Opalin_1 (nn_4),LIGER 62,CS202002012_62,,RNAseq 099 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Oligo Opalin_2 (nn_0),Oligo Opalin_2 (nn_0),LIGER 63,CS202002012_63,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Oligo Opalin_2 (nn_11),Oligo Opalin_2 (nn_11),LIGER 64,CS202002012_64,,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Endo (nn_5),Endo (nn_5),LIGER 65,CS202002012_65,Endothelial,RNAseq 103 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
VLMC_2 (nn_7),VLMC_2 (nn_7),LIGER 66,CS202002012_66,,RNAseq 105 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
VLMC_3 (nn_12),VLMC_3 (nn_12),LIGER 67,CS202002012_67,,RNAseq 106 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
VLMC_5 (nn_10),VLMC_5 (nn_10),LIGER 68,CS202002012_68,,RNAseq 108 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
SMC (nn_9),SMC (nn_9),LIGER 69,CS202002012_69,SMC,RNAseq 111 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Micro (nn_2),Micro (nn_2),LIGER 70,CS202002012_70,Microglia,RNAseq 113 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
PVM_1 (nn_13),PVM_1 (nn_13),LIGER 71,CS202002012_71,PVM,RNAseq 114 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,
Glutamatergic,Glutamatergic,LIGER 01-24,CS202002012_72,Neuronal: Glutamatergic,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_1|CS202002012_2|CS202002012_3|CS202002012_4|CS202002012_5|CS202002012_6|CS202002012_7|CS202002012_8|CS202002012_9|CS202002012_10|CS202002012_11|CS202002012_12|CS202002012_13|CS202002012_14|CS202002012_15|CS202002012_16|CS202002012_17|CS202002012_18|CS202002012_19|CS202002012_20|CS202002012_21|CS202002012_22|CS202002012_23|CS202002012_24
IT projecting,IT projecting,LIGER 01-11,CS202002012_73,IT projecting,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_1|CS202002012_2|CS202002012_3|CS202002012_4|CS202002012_5|CS202002012_6|CS202002012_7|CS202002012_8|CS202002012_9|CS202002012_10|CS202002012_11
Non-IT projecting,Non-IT projecting,LIGER 12-24,CS202002012_74,Non-IT projecting,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_12|CS202002012_13|CS202002012_14|CS202002012_15|CS202002012_16|CS202002012_17|CS202002012_18|CS202002012_19|CS202002012_20|CS202002012_21|CS202002012_22|CS202002012_23|CS202002012_24
GABAergic,GABAergic,LIGER 25-56,CS202002012_75,Neuronal: GABAergic,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_25|CS202002012_26|CS202002012_27|CS202002012_28|CS202002012_29|CS202002012_30|CS202002012_31|CS202002012_32|CS202002012_33|CS202002012_34|CS202002012_35|CS202002012_36|CS202002012_37|CS202002012_38|CS202002012_39|CS202002012_40|CS202002012_41|CS202002012_42|CS202002012_43|CS202002012_44|CS202002012_45|CS202002012_46|CS202002012_47|CS202002012_48|CS202002012_49|CS202002012_50|CS202002012_51|CS202002012_52|CS202002012_53|CS202002012_54|CS202002012_55|CS202002012_56
CGE/PoA,CGE/PoA,LIGER 25-39,CS202002012_76,CGE/PoA,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_25|CS202002012_26|CS202002012_27|CS202002012_28|CS202002012_29|CS202002012_30|CS202002012_31|CS202002012_32|CS202002012_33|CS202002012_34|CS202002012_35|CS202002012_36|CS202002012_37|CS202002012_38|CS202002012_39
MGE,MGE,LIGER 40-56,CS202002012_77,MGE,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_40|CS202002012_41|CS202002012_42|CS202002012_43|CS202002012_44|CS202002012_45|CS202002012_46|CS202002012_47|CS202002012_48|CS202002012_49|CS202002012_50|CS202002012_51|CS202002012_52|CS202002012_53|CS202002012_54|CS202002012_55|CS202002012_56
L2/3 IT,L2/3 IT,LIGER 01-05,CS202002012_78,L2/3 IT,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_1|CS202002012_2|CS202002012_3|CS202002012_4|CS202002012_5
L2/3 IT_1,L2/3 IT_1,"LIGER 01, 03, 05",CS202002012_79,,RNAseq 058 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_1|CS202002012_3|CS202002012_5
L4/5 IT,L4/5 IT,LIGER 06-08,CS202002012_80,L4/5 IT,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_6|CS202002012_7|CS202002012_8
L4/5 IT_1,L4/5 IT_1,"LIGER 02, 04, 06, 08",CS202002012_81,,RNAseq 061 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_2|CS202002012_4|CS202002012_6|CS202002012_8
L5 IT,L5 IT,LIGER 09-10,CS202002012_82,L5 IT,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_9|CS202002012_10
L5 ET,L5 ET,LIGER 12-15,CS202002012_83,L5 ET,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_12|CS202002012_13|CS202002012_14|CS202002012_15
L5 ET_2,L5 ET_2,"LIGER 12, 14-15",CS202002012_84,,RNAseq 071 in CCN202002013|L5 ET (Non-MY-projecting),Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_12|CS202002012_14|CS202002012_15
L5/6 NP,L5/6 NP,LIGER 23-24,CS202002012_85,L5/6 NP,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_23|CS202002012_24
L6 CT,L6 CT,LIGER 16-21,CS202002012_86,L6 CT,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_16|CS202002012_17|CS202002012_18|CS202002012_19|CS202002012_20|CS202002012_21
L6 CT Cpa6,L6 CT Cpa6,LIGER 16-20,CS202002012_87,,RNAseq 076 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_16|CS202002012_17|CS202002012_18|CS202002012_19|CS202002012_20
Pvalb,Pvalb,LIGER 25-30,CS202002012_88,Pvalb,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_25|CS202002012_26|CS202002012_27|CS202002012_28|CS202002012_29|CS202002012_30
Pvalb Reln,Pvalb Reln,"LIGER 25, 28",CS202002012_89,,RNAseq 054 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_25|CS202002012_28
Pvalb Calb1,Pvalb Calb1,"LIGER 26, 29",CS202002012_90,,RNAseq 052-053 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_26|CS202002012_29
Sst,Sst,LIGER 31-39,CS202002012_91,Sst,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_31|CS202002012_32|CS202002012_33|CS202002012_34|CS202002012_35|CS202002012_36|CS202002012_37|CS202002012_38|CS202002012_39
Sst Calb2,Sst Calb2,"LIGER 31, 33-34",CS202002012_92,,RNAseq 039 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_31|CS202002012_33|CS202002012_34
Sst Crhr2_1,Sst Crhr2_1,"LIGER 32, 36-37",CS202002012_93,,RNAseq 036 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_32|CS202002012_36|CS202002012_37
Sst Myh8,Sst Myh8,"LIGER 35, 38",CS202002012_94,,RNAseq 030-032 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_35|CS202002012_38
Vip,Vip,LIGER 40-48,CS202002012_95,Vip,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_40|CS202002012_41|CS202002012_42|CS202002012_43|CS202002012_44|CS202002012_45|CS202002012_46|CS202002012_47|CS202002012_48
Vip Chat,Vip Chat,LIGER 41-43,CS202002012_96,,"RNAseq 023, 025 in CCN202002013",Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_41|CS202002012_42|CS202002012_43
Sncg,Sncg,LIGER 49-50,CS202002012_97,Sncg,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_49|CS202002012_50
Lamp5,Lamp5,LIGER 51-56,CS202002012_98,Lamp5,,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_51|CS202002012_52|CS202002012_53|CS202002012_54|CS202002012_55|CS202002012_56
Lamp5 Slc35d3,Lamp5 Slc35d3,"LIGER 40, 52-53",CS202002012_99,,RNAseq 007 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_40|CS202002012_52|CS202002012_53
Lamp5 Pax6,Lamp5 Pax6,"LIGER 54, 56",CS202002012_100,,RNAseq 001 in CCN202002013,Josh Welch,10.1101/2020.02.29.970558,primary motor cortex,UBERON:0001384,CCN202002012,Mouse,RNAseq|ATACseq|DNAm,CS202002012_54|CS202002012_56
